Identifier,Company Name,Company Type,Country,Year Founded,Company Status,Stock Exchange,Price,Market Cap (MM) (USD),Number of Employees,Gross Profit (MM) (USD),Net Income (MM) (USD),Earnings Per Share (EPS) (Basic) (USD),Earnings Per Share (EPS) (Diluted) (USD),Common Shares Outstanding (MM),Total Debt (MM) (USD),Cash & Short Term Investments (MM) (USD),Book Value Per Share (BVPS) (MM) (USD),Long Term Debt (MM) (USD),Total Assets (MM) (USD),Free Cash Flow (FCF) (MM) (USD),Capital Expenditures (MM) (USD),Dividend Yield,Price to Earnings (P/E),Return on Equity (ROE),Interest Coverage,Total Debt/EBITDA,Sales Growth
0H2QVK-E,Janus Henderson Group Plc,Public,United Kingdom,1934,Active,NYSE,25.11,4880.28,2181.00,"1,510.90",361.10,2.23,2.23,165.35,407.80,"1,772.30",26.37,383.30,"6,237.80",196.80,17.60,6.59,10.55,8.04,32.72,0.71,-24.48
000STY-E,Old National Bancorp,Public,United States,1982,Active,NASDAQ,14.61,4875.07,3967.00,-,428.29,1.51,1.50,165.84,"5,798.28",-,29.54,"3,800.29","46,849.02",548.05,37.90,3.11,12.01,10.52,-,-,106.56
000NGP-E,KB Home,Public,United States,1957,Active,NYSE,51.18,4864.62,2205.00,"1,391.75",585.90,7.25,7.03,75.87,"1,716.43",727.34,50.22,"1,686.50","6,698.46",995.50,35.47,1.34,7.41,15.68,7.04,2.14,-7.14
0087HJ-E,"Varonis Systems, Inc.",Public,United States,2004,Active,NASDAQ,34.39,4859.30,2143.00,403.80,-124.52,-1.14,-1.14,107.67,316.46,732.49,4.66,306.59,"1,043.73",0.48,11.40,0.00,-,-22.67,-16.10,-,21.40
000JHP-E,"Macy's, Inc.",Public,United States,1858,Active,NYSE,12.95,4831.91,94570.00,"9,999.00","1,177.00",4.28,4.19,271.35,"6,294.00",862.00,15.04,"5,959.00","18,081.00",554.00,"1,295.00",1.98,5.51,30.56,8.54,1.19,0.05
0NSQBN-E,Valaris Ltd.,Public,Bermuda,1975,Active,NYSE,69.13,4830.04,5450.00,128.10,176.50,2.35,2.33,75.20,551.80,748.50,17.15,542.40,"2,860.30",-79.50,207.00,0.00,28.96,14.93,1.02,3.92,30.03
0HCV76-E,Freedom Holding Corp.,Public,Kazakhstan,1981,Active,NASDAQ,84.49,4801.37,3689.00,655.13,192.72,3.94,3.89,59.66,"1,606.32",997.13,13.03,79.49,"5,084.56",42.83,38.54,0.00,18.49,28.96,1.86,3.94,18.00
000Y90-E,"Valmont Industries, Inc.",Public,United States,1946,Active,NYSE,202.25,4794.39,11364.00,"1,131.44",250.86,11.77,11.62,21.35,"1,050.30",185.41,74.04,"1,026.40","3,557.00",187.16,93.29,0.67,28.45,16.91,8.71,1.64,24.09
000Q68-E,"Moog, Inc.",Public,United States,1951,Active,NYSE,132.64,4790.17,13500.00,810.96,171.00,5.37,5.34,31.88,"1,007.62",69.14,51.32,990.72,"3,808.04",-71.43,173.29,0.95,21.17,11.13,4.93,2.33,9.31
0PDD55-E,"Kyndryl Holdings, Inc.",Public,United States,2020,Active,NYSE,15.40,4789.87,90000.00,"2,528.00","-1,374.00",-6.06,-6.06,227.70,"4,244.00","1,859.00",5.99,"3,818.00","11,464.00",-84.00,865.00,0.00,-,-67.62,-4.11,1.20,-8.74
000KM3-E,F.N.B. Corp. (Pennsylvania),Public,United States,1974,Active,NYSE,11.54,4779.60,-,-,484.85,1.32,1.32,358.83,"4,477.00",-,16.56,"1,971.00","46,158.00",-,-,3.49,10.43,8.29,-,-,38.41
0RV0VB-E,QuidelOrtho Corp.,Public,United States,2022,Active,NASDAQ,64.27,4766.85,7000.00,"1,650.10",548.70,9.66,9.56,66.40,"2,849.10",345.00,74.32,"2,617.20","8,855.80",744.40,140.90,0.00,8.96,15.99,13.21,2.09,92.11
000LGS-E,"Harley-Davidson, Inc.",Public,United States,1903,Active,NYSE,28.92,4760.25,6300.00,"1,946.51",741.41,5.01,4.96,145.86,"6,955.29","1,568.60",19.91,"4,483.83","11,492.48",303.61,151.67,1.51,8.38,27.17,30.20,6.37,7.85
001WFT-E,Columbia Sportswear Co.,Public,United States,1938,Active,NASDAQ,77.59,4743.81,9450.00,"1,699.12",311.44,4.96,4.95,62.14,379.31,430.96,31.15,310.63,"3,051.55",-158.79,58.47,1.37,17.71,15.87,-,0.00,10.79
004BVL-E,AXIS Capital Holdings Ltd.,Public,Bermuda,2002,Active,NYSE,54.51,4732.62,2064.00,-,223.08,2.27,2.25,84.67,"1,496.28",-,48.31,"1,476.51","26,045.44",512.63,36.83,3.19,23.84,4.44,-,-,0.37
000NZ5-E,Lancaster Colony Corp.,Public,United States,1961,Active,NASDAQ,171.00,4730.17,3400.00,386.05,111.03,4.04,4.04,27.53,29.99,88.47,31.32,19.22,"1,140.66",43.35,90.18,1.67,49.77,13.01,-,0.02,8.72
005PL6-E,Kite Realty Group Trust,Public,United States,2004,Active,NYSE,22.18,4727.79,236.00,126.97,-12.64,-0.06,-0.06,219.19,"3,266.28",121.97,17.18,"2,978.87","7,341.98",42.36,158.54,4.13,-,-0.33,0.68,5.62,115.33
00DFBD-E,RH,Public,United States,1980,Active,NYSE,240.13,4725.20,6180.00,"1,811.99",528.64,22.47,19.90,22.05,"3,749.51","1,511.76",35.59,"3,624.27","5,309.29",230.05,173.64,0.00,15.61,54.08,4.76,3.40,-4.48
0MW0P3-E,"Nuvalent, Inc.",Public,United States,2017,Active,NASDAQ,56.35,4723.56,62.00,0.00,-81.85,-1.65,-1.65,56.67,0.00,472.16,8.17,0.00,482.46,-64.97,0.00,0.00,-,-21.89,-,-,-
003381-E,"Flowers Foods, Inc.",Public,United States,1919,Active,NYSE,22.26,4722.75,9200.00,"2,166.23",228.39,1.08,1.07,211.13,"1,192.66",165.13,6.84,"1,128.94","3,449.35",5.04,169.07,3.03,26.83,16.00,12.03,1.84,10.97
0PGYN9-E,"Aurora Innovation, Inc.",Public,United States,2017,Active,NASDAQ,2.01,4711.36,1700.00,18.00,"-1,723.00",-1.51,-1.51,"1,166.00",136.00,"1,101.00",1.53,123.00,"2,001.00",-523.00,15.00,0.00,-,-67.23,-,-,-17.61
08B2QB-E,"Valvoline, Inc.",Public,United States,1866,Active,NYSE,30.93,4702.93,10900.00,544.50,199.40,-0.94,-0.94,134.80,"2,073.80",756.60,1.51,"2,008.50","2,889.90",-243.10,180.50,0.39,-,78.23,7.31,4.87,16.78
064WW9-E,Teradata Corp.,Public,United States,1979,Active,NYSE,44.50,4694.40,7000.00,"1,089.00",33.00,0.32,0.31,101.10,637.00,569.00,2.55,562.00,"2,022.00",405.00,16.00,0.00,107.92,9.19,5.25,2.40,-6.36
0020L3-E,"IDACORP, Inc.",Public,United States,1916,Active,NYSE,100.74,4681.91,2070.00,257.22,258.98,5.11,5.11,50.56,"2,194.15",177.58,55.52,"2,194.15","7,834.45",-235.59,442.47,2.82,21.11,9.46,2.46,5.13,12.63
000PMX-E,"M.D.C. Holdings, Inc.",Public,United States,1972,Active,NYSE,42.99,4676.80,1643.00,"1,293.61",559.40,7.87,7.67,72.59,"1,694.90","1,278.20",42.60,"1,512.02","5,386.23",734.15,29.08,6.33,4.12,19.67,10.90,2.13,10.37
001SBH-E,"Power Integrations, Inc.",Public,United States,1988,Active,NASDAQ,74.82,4676.54,831.00,366.67,170.85,2.96,2.93,56.96,8.73,353.81,13.26,5.83,840.10,134.64,39.21,1.00,24.50,20.49,-,0.00,-7.41
000P5T-E,Lincoln National Corp.,Public,United States,1968,Active,NYSE,24.56,4665.71,11316.00,-,"-2,227.00",-13.02,-13.02,169.22,"6,607.00",-,18.41,"6,107.00","317,963.00","3,723.00",0.00,5.86,-,-18.27,-,-,-2.47
0MTHG4-E,"Academy Sports & Outdoors, Inc.",Public,United States,1938,Active,NASDAQ,48.85,4665.61,22000.00,"2,105.74",628.00,7.70,7.49,76.71,"1,768.72",337.15,21.23,"1,656.65","4,621.86",419.07,108.81,0.54,7.43,40.58,17.99,0.62,-5.58
000V95-E,"Rayonier, Inc.",Public,United States,1926,Active,NYSE,29.80,4665.30,419.00,377.68,107.08,0.73,0.73,147.28,"1,611.87",114.35,12.67,"1,603.48","3,789.37",28.67,74.81,3.41,45.21,5.89,7.91,9.13,-18.07
0BRKZH-E,Alkermes Plc,Public,Ireland,2011,Active,NASDAQ,24.79,4655.98,2280.00,845.32,-158.27,-0.97,-0.97,164.38,398.82,608.47,6.35,380.10,"1,963.98",-17.21,38.26,0.00,-,-14.68,-10.91,-,-5.28
0014W4-E,UGI Corp.,Public,United States,1882,Active,NYSE,22.36,4629.86,10500.00,"3,219.00","-1,502.00",-7.16,-7.16,209.50,"7,676.00",340.00,20.14,"6,883.00","15,401.00",-175.00,974.00,6.39,-,-28.74,2.58,4.50,-11.84
0033G3-E,IPG Photonics Corp.,Public,United States,1990,Active,NASDAQ,91.93,4627.97,6230.00,553.03,109.91,2.17,2.16,48.14,38.05,"1,177.58",49.55,16.79,"2,743.28",102.51,110.14,0.00,43.86,4.28,-,0.05,-2.14
0858SK-E,"Iridium Communications, Inc.",Public,United States,2000,Active,NASDAQ,38.24,4614.69,663.00,216.40,8.72,0.07,0.07,125.90,"1,506.77",168.77,8.96,"1,486.49","2,954.01",273.46,71.27,0.25,755.88,0.72,1.03,3.91,17.34
0FK8S6-E,"Ollie's Bargain Outlet Holdings, Inc.",Public,United States,1982,Active,NASDAQ,79.75,4605.26,10700.00,633.19,102.79,1.64,1.64,62.01,441.18,270.76,21.97,352.11,"2,164.78",62.68,51.67,0.00,32.92,7.76,-,0.01,4.22
0014B9-E,"The Hanover Insurance Group, Inc.",Public,United States,1852,Active,NYSE,116.65,4604.05,4600.00,-,116.80,3.26,3.21,35.60,782.40,-,65.33,782.40,"12,179.10",595.60,17.80,2.26,42.05,4.27,-,-,4.61
000NW8-E,Kirby Corp.,Public,United States,1921,Active,NYSE,78.13,4602.12,5200.00,522.37,122.26,2.04,2.03,59.91,"1,258.20",80.58,50.79,"1,218.47","5,554.92",121.52,172.61,0.00,31.75,4.12,4.14,2.60,23.95
001FXQ-E,"Euronet Worldwide, Inc.",Public,United States,1994,Active,NASDAQ,80.86,4597.84,9500.00,670.51,235.70,4.70,4.41,49.82,"1,765.08","1,654.22",24.98,"1,711.75","5,403.63",644.03,111.99,0.00,21.41,18.86,10.25,3.09,12.13
000WH4-E,"Silgan Holdings, Inc.",Public,United States,1987,Active,NYSE,42.38,4595.39,15425.00,"1,047.81",340.85,3.09,3.07,110.08,"3,640.14",585.62,15.61,"3,518.28","7,345.76",460.70,215.76,1.23,16.89,20.78,5.19,3.73,12.94
0T3XV2-E,"SPX Technologies, Inc.",Public,United States,1912,Active,NYSE,82.51,4592.66,3300.00,495.40,19.80,0.44,0.43,45.29,290.70,147.80,23.83,276.80,"1,930.90",-152.70,15.90,0.00,153.24,1.81,6.97,2.22,19.79
0GT76V-E,"Hamilton Lane, Inc.",Public,United States,1991,Active,NASDAQ,91.94,4582.22,600.00,-,112.93,3.05,3.01,38.61,292.35,116.55,10.76,267.08,"1,140.54",101.83,4.75,2.16,24.56,29.63,29.55,0.79,38.79
0014NP-E,"Merit Medical Systems, Inc.",Public,United States,1987,Active,NASDAQ,71.85,4562.29,6846.00,468.55,74.52,1.31,1.29,57.31,268.75,60.56,19.97,246.50,"1,663.97",69.26,48.20,0.00,54.66,6.82,15.63,1.04,6.21
00221C-E,"Glacier Bancorp, Inc.",Public,United States,1955,Active,NYSE,32.78,4549.49,3390.00,-,303.20,2.74,2.74,110.78,"3,002.57",-,25.67,249.67,"26,694.70",188.15,23.24,2.67,18.06,10.07,-,-,15.10
000CHV-E,Balchem Corp.,Public,United States,1967,Active,NASDAQ,121.02,4547.93,1340.00,280.45,105.37,3.29,3.25,32.15,460.61,66.56,29.18,456.59,"1,642.75",67.53,50.29,0.58,37.54,11.61,11.82,2.22,17.94
05XB24-E,Assured Guaranty Ltd.,Public,Bermuda,2003,Active,NYSE,65.49,4546.17,411.00,-,124.00,1.96,1.92,59.01,"6,896.00",-,85.81,"6,873.00","16,843.00","-2,543.00",0.00,1.61,31.84,2.18,-,-,-0.37
0FFBNG-E,Madison Square Garden Sports Corp.,Public,United States,2015,Active,NYSE,174.40,4546.10,962.00,335.06,47.79,1.90,1.89,23.89,"1,121.18",40.46,-14.11,"1,041.44","1,403.92",-19.63,1.18,0.00,99.44,-,3.72,3.66,8.05
000JHL-E,Federal Signal Corp.,Public,United States,1901,Active,NYSE,64.35,4522.14,4100.00,338.80,120.40,1.99,1.97,60.70,388.40,47.50,14.18,380.00,"1,524.30",-3.00,53.00,0.77,23.62,14.64,15.87,1.69,18.27
00134G-E,"Exponent, Inc.",Public,United States,1967,Active,NASDAQ,75.00,4517.54,1313.00,164.50,102.33,1.98,1.96,50.64,18.60,161.46,6.33,13.34,596.45,32.53,12.04,0.97,50.62,27.74,-,0.00,10.09
003DX0-E,"Halozyme Therapeutics, Inc.",Public,United States,1998,Active,NASDAQ,35.58,4511.15,393.00,477.66,202.13,1.48,1.44,135.15,"1,506.10",362.79,1.26,"1,492.77","1,841.51",235.30,4.81,0.00,39.58,110.23,17.08,4.44,48.91
0G9FG8-E,"Hilton Grand Vacations, Inc.",Public,United States,1992,Active,NYSE,37.25,4501.85,14500.00,"1,031.00",352.00,2.98,2.93,113.63,"3,847.00",555.00,18.93,"3,847.00","8,004.00",689.00,97.00,0.00,13.14,17.01,5.00,3.93,64.24
0017BJ-E,"Stericycle, Inc.",Public,United States,1989,Active,NASDAQ,42.23,4490.16,15000.00,901.60,56.00,0.61,0.61,91.90,"1,929.40",56.00,26.34,"1,813.00","5,334.10",68.00,132.20,0.00,82.31,2.32,2.65,3.49,2.18
09QT0W-E,Air Lease Corp.,Public,United States,2010,Active,NYSE,36.83,4488.82,151.00,"1,285.45",-97.02,-1.24,-1.24,110.89,"18,641.06",780.02,59.93,"16,017.80","28,705.88","-2,382.43","3,639.63",1.97,-,-1.42,1.90,8.97,7.81
0JW5LT-E,Equitrans Midstream Corp.,Public,United States,2018,Active,NYSE,9.19,4484.25,766.00,866.07,-269.34,-0.76,-0.76,432.78,"7,021.97",67.90,2.12,"6,915.25","10,445.59",150.95,376.66,8.96,-,-14.28,1.87,6.50,3.09
0D8QKN-E,Perrigo Co. Plc,Public,Ireland,1887,Active,NYSE,28.75,4483.89,8900.00,"1,459.30",-130.90,-1.05,-1.05,134.70,"4,324.50",600.80,35.95,"4,259.90","11,017.30",68.50,96.40,3.05,-,-2.62,1.19,8.03,7.47
0GWP7C-E,"Enact Holdings, Inc.",Public,United States,1981,Active,NASDAQ,28.23,4481.27,496.00,-,704.16,4.32,4.31,162.78,758.77,-,25.19,755.32,"5,735.80",309.73,0.00,1.74,5.59,17.16,-,-,-2.04
0033SF-E,"ACADIA Pharmaceuticals, Inc.",Public,United States,1993,Active,NASDAQ,24.07,4480.47,513.00,507.07,-215.98,-1.34,-1.34,162.06,62.00,416.82,2.47,52.70,587.81,-114.04,0.00,0.00,-,-45.89,-,-,6.83
0GF79X-E,"Madrigal Pharmaceuticals, Inc.",Public,United States,2011,Active,NASDAQ,146.89,4471.30,92.00,-0.47,-295.35,-17.23,-17.23,18.10,49.89,358.77,10.90,49.29,362.57,-225.07,0.22,0.00,-,-150.12,-74.06,-,-
000BNX-E,"Alaska Air Group, Inc.",Public,United States,1985,Active,NYSE,33.56,4461.37,25469.00,"1,569.00",58.00,0.46,0.45,127.53,"3,780.00","2,417.00",29.92,"3,276.00","15,346.00",-253.00,"1,671.00",0.00,94.69,1.52,5.16,2.22,56.19
002K2T-E,Radian Group Inc.,Public,United States,1977,Active,NYSE,27.13,4458.49,1400.00,-,742.93,4.42,4.35,157.06,"1,618.71",-,24.95,"1,513.82","7,038.10",235.19,17.67,4.20,4.38,18.17,-,-,-10.41
008TKK-E,Glaukos Corp.,Public,United States,1998,Active,NYSE,64.21,4454.92,783.00,211.46,-99.20,-2.09,-2.09,47.75,382.91,352.70,11.10,382.48,"1,074.17",-63.35,30.27,0.00,-,-17.76,-7.46,-,-3.79
0GMHQ0-E,DXC Technology Co.,Public,United States,1959,Active,NYSE,22.30,4453.81,130000.00,"1,589.00",-568.00,-2.48,-2.48,214.72,"5,365.00","1,858.00",16.29,"4,548.00","15,845.00","1,148.00",678.00,0.00,-,-13.29,1.53,2.28,-11.28
000CH6-E,"Badger Meter, Inc.",Public,United States,1905,Active,NYSE,142.92,4452.81,1976.00,219.97,66.50,2.28,2.26,29.29,6.79,138.05,15.10,4.39,603.05,51.68,5.89,0.78,48.17,15.73,-,0.00,11.95
00797Q-E,GameStop Corp.,Public,United States,1996,Active,NYSE,13.87,4433.01,11000.00,"1,311.80",-313.10,-1.03,-1.03,304.60,616.60,"1,431.90",4.34,411.10,"3,277.00",52.30,55.90,0.00,-,-21.41,-,-,-1.39
0FB9CW-E,"Revolution Medicines, Inc.",Public,United States,2004,Active,NASDAQ,22.16,4411.05,246.00,25.72,-248.71,-3.08,-3.08,90.41,64.21,644.94,7.58,57.43,838.19,-235.22,10.82,0.00,-,-38.63,-,-,20.38
0MCBZH-E,"Shift4 Payments, Inc.",Public,United States,1999,Active,NYSE,48.41,4411.05,2300.00,373.70,75.10,1.34,1.05,57.04,"1,765.30",776.50,6.09,"1,760.00","2,565.70",208.70,104.50,0.00,53.39,24.22,2.66,7.40,43.36
0015J8-E,ASGN Incorporated,Public,United States,1985,Active,NYSE,85.50,4406.59,54000.00,"1,279.20",266.90,5.30,5.23,49.50,"1,121.80",70.30,38.41,"1,098.90","3,585.70",270.30,37.50,0.00,15.59,14.17,8.92,2.13,14.26
005JC3-E,"Blackbaud, Inc.",Public,United States,1981,Active,NASDAQ,73.13,4405.68,3200.00,549.79,-45.41,-0.88,-0.88,53.07,911.68,31.69,14.02,885.16,"2,992.70",191.60,71.06,0.00,-,-6.22,-0.66,11.43,14.05
002GY0-E,American Equity Investment Life Holding Co.,Public,United States,1995,Active,NYSE,53.64,4402.47,840.00,-,"1,220.94",13.00,12.86,84.81,870.83,-,37.37,870.83,"62,260.28","1,928.98",40.96,0.79,3.55,25.72,-,-,-6.91
008C5Y-E,The Western Union Co.,Public,United States,1851,Active,NYSE,11.74,4397.81,8900.00,"1,659.70",910.60,2.35,2.34,373.50,"2,778.10","1,327.40",1.28,"2,560.00","8,496.30",185.50,208.20,6.83,5.87,218.53,8.94,2.41,-12.57
000C9Q-E,"Armstrong World Industries, Inc.",Public,United States,1860,Active,NYSE,80.69,4395.50,3000.00,449.30,196.60,4.31,4.30,45.57,687.00,106.00,11.74,678.90,"1,687.20",63.40,74.80,1.38,15.94,37.28,7.83,2.26,11.43
07D16M-E,Signet Jewelers Ltd.,Public,Bermuda,1949,Active,NYSE,75.81,4392.73,29660.00,"3,050.40",376.70,7.34,6.04,44.90,"1,330.30","1,166.80",35.16,"1,042.10","6,620.40",589.50,138.90,1.05,12.59,16.94,64.13,0.14,0.21
000QVK-E,National Beverage Corp.,Public,United States,1985,Active,NASDAQ,49.04,4389.46,1593.00,404.57,142.16,1.52,1.52,93.35,41.53,158.07,4.04,29.78,579.56,139.69,21.98,0.00,32.73,46.46,-,0.00,3.07
000QW5-E,National Fuel Gas Co.,Public,United States,1902,Active,NYSE,54.17,4389.46,2240.00,936.50,476.87,5.20,5.17,91.82,"2,711.46",55.45,32.27,"2,414.00","8,404.20",51.11,"1,009.87",3.74,10.05,18.91,6.40,2.12,-26.27
000KQK-E,"Franklin Electric Co., Inc.",Public,United States,1944,Active,NASDAQ,87.54,4362.33,6500.00,691.44,186.63,4.03,3.97,46.19,264.84,45.79,23.12,122.13,"1,694.20",57.59,41.90,0.98,20.08,18.53,22.82,0.69,22.98
06GD1S-E,Enstar Group Ltd.,Public,Bermuda,2001,Active,NASDAQ,253.31,4362.05,792.00,-,-870.00,-52.65,-52.65,17.59,"1,829.00",-,267.28,"1,829.00","21,023.00",-770.00,0.00,0.00,-,-15.78,-,-,-247.77
001CBK-E,"Boston Beer Co., Inc.",Public,United States,1984,Active,NYSE,338.13,4359.42,2679.00,897.85,67.26,5.46,5.44,12.31,55.60,180.56,86.83,45.80,"1,456.23",115.88,90.58,0.00,60.62,6.56,-,0.01,1.59
002KYY-E,"Inter Parfums, Inc.",Public,United States,1982,Active,NASDAQ,129.90,4357.70,527.00,694.42,120.94,3.80,3.78,31.97,209.67,255.55,19.29,175.83,"1,314.46",17.65,132.62,2.07,25.53,20.35,20.41,0.81,23.55
000DS3-E,"Cirrus Logic, Inc.",Public,United States,1984,Active,NASDAQ,70.56,4348.47,1702.00,956.98,176.70,3.18,3.09,55.10,141.07,480.76,30.10,122.63,"2,063.97",304.48,36.71,0.00,34.20,10.85,384.66,0.00,6.52
0F1GPV-E,"Summit Materials, Inc.",Public,United States,2009,Active,NYSE,34.34,4342.67,4800.00,448.90,272.15,2.27,2.26,118.41,"1,550.82",520.45,16.88,"1,531.47","4,255.69",17.37,266.73,0.00,12.58,14.28,2.97,3.28,0.12
00GHHT-E,The Chemours Co.,Public,United States,2014,Active,NYSE,25.68,4337.36,6600.00,"1,635.00",578.00,3.72,3.65,148.50,"3,862.00","1,102.00",7.45,"3,788.00","7,640.00",292.00,307.00,3.27,8.39,52.83,4.75,3.29,7.08
0MGSMK-E,"IAC, Inc.",Public,United States,1995,Active,NASDAQ,44.80,4334.61,11000.00,"2,898.41","-1,172.86",-13.55,-13.55,88.87,"2,635.80","1,657.93",66.74,"2,538.61","10,393.64",-222.54,139.75,0.00,-,-17.90,-2.63,9.31,41.51
05L8HP-E,"Schneider National, Inc.",Public,United States,1935,Active,NYSE,22.14,4333.53,17050.00,822.50,457.80,2.57,2.56,178.02,215.10,431.60,15.94,141.80,"4,364.60",107.10,693.60,1.37,9.14,17.40,63.09,0.23,17.75
0GR2P2-E,"Southwest Gas Holdings, Inc.",Public,United States,1931,Active,NYSE,61.52,4327.74,13359.00,524.41,-203.29,-3.10,-3.10,67.12,"6,127.91",123.08,45.57,"4,514.66","13,196.61",-612.52,859.42,4.01,-,-6.76,1.75,6.70,34.77
00BN44-E,Transocean Ltd.,Public,Switzerland,1953,Active,NYSE,6.84,4320.23,5340.00,161.00,-621.00,-0.89,-0.89,721.89,"7,817.00",991.00,14.95,"7,051.00","20,436.00",-269.00,717.00,0.00,-,-5.65,-0.03,9.28,0.74
0FQBMW-E,"Surgery Partners, Inc.",Public,United States,2004,Active,NASDAQ,24.89,4315.88,12200.00,460.10,-54.60,-0.59,-0.59,125.96,"2,929.70",282.90,15.86,"2,830.40","6,848.10",78.20,80.60,0.00,-,-3.54,1.59,5.17,14.12
002XS0-E,"Axcelis Technologies, Inc.",Public,United States,1978,Active,NASDAQ,131.11,4310.88,1388.00,401.79,183.08,5.54,5.46,32.78,58.71,432.17,20.36,52.12,"1,021.21",198.94,10.68,0.00,14.54,30.36,38.08,0.21,38.88
09VP5Y-E,"Squarespace, Inc.",Public,United States,2003,Active,NYSE,29.90,4307.53,1800.00,692.84,-252.22,-1.82,-1.82,135.60,635.61,264.38,-2.23,583.34,752.67,152.68,11.54,0.00,-,-,0.73,10.89,10.58
000CGH-E,"Avnet, Inc.",Public,United States,1921,Active,NASDAQ,46.60,4305.30,15800.00,"3,182.14",770.83,8.37,8.26,91.50,"3,301.08",288.23,51.93,"3,178.65","12,531.96","-1,014.70",194.67,2.30,6.11,17.24,4.84,2.25,9.16
001MCF-E,SLM Corp.,Public,United States,1972,Active,NASDAQ,14.79,4296.89,1700.00,"1,975.61",469.01,1.78,1.76,240.68,"5,235.11","4,784.00",6.13,"5,235.11","28,811.03",-113.44,0.00,2.65,9.44,24.20,8.12,3.57,0.19
001DBB-E,"Insperity, Inc.",Public,United States,1986,Active,NYSE,108.55,4279.07,4100.00,970.57,179.35,4.71,4.64,37.88,444.93,815.68,2.15,424.99,"2,076.46",240.77,30.33,1.77,24.46,451.19,17.61,1.27,19.42
0JVC61-E,"PennyMac Financial Services, Inc.",Public,United States,2008,Active,NYSE,72.56,4273.65,4135.00,"2,397.11",475.51,8.96,8.50,49.99,"7,096.99","1,340.73",69.44,"3,783.89","16,822.58","6,007.99",83.09,1.41,6.67,13.80,3.31,6.99,-42.36
0NXBPX-E,"Alight, Inc.",Public,United States,2017,Active,NYSE,7.21,4265.07,18000.00,657.00,-62.00,-0.14,-0.14,478.34,"3,003.00",250.00,9.28,"2,913.00","11,235.00",138.00,148.00,0.00,-,-1.45,0.56,6.19,7.44
00CCQK-E,"Phillips Edison & Co., Inc.",Public,United States,1991,Active,NASDAQ,35.09,4264.15,290.00,177.92,48.32,0.42,0.42,117.13,"2,013.59",17.35,19.09,"1,966.01","4,735.49",63.46,104.50,3.43,76.10,2.20,1.96,5.17,9.42
0GBN5L-E,Acushnet Holdings Corp.,Public,United States,1910,Active,NYSE,55.20,4261.97,7300.00,"1,161.51",199.28,2.77,2.75,67.43,627.86,58.90,13.93,572.34,"2,193.81",-181.39,126.36,1.70,15.46,20.11,20.03,1.76,5.70
001733-E,Haemonetics Corp.,Public,United States,1971,Active,NYSE,88.43,4260.34,3034.00,590.23,115.40,2.27,2.24,50.45,773.05,284.47,16.21,754.10,"1,934.83",161.75,110.19,0.00,36.87,14.72,10.53,2.94,17.67
003600-E,"Synaptics, Inc.",Public,United States,1986,Active,NASDAQ,90.33,4255.54,1891.00,680.50,73.60,1.86,1.83,38.57,"1,029.40",934.30,32.24,"1,014.40","2,611.40",296.40,35.10,0.00,44.33,5.87,2.74,3.06,-22.11
0F1280-E,"HashiCorp, Inc.",Public,United States,2012,Active,NASDAQ,19.68,4237.09,2400.00,381.47,-274.30,-1.47,-1.47,189.97,15.47,"1,286.13",6.35,12.09,"1,628.34",-93.46,9.00,0.00,-,-22.05,-,-,48.36
0HVGTR-E,Sotera Health Co.,Public,United States,1978,Active,NASDAQ,13.21,4233.69,3000.00,494.06,-233.57,-0.83,-0.83,282.42,"2,032.04",396.29,1.24,"1,825.65","3,117.71",95.55,182.38,0.00,-,-49.89,3.43,4.20,7.75
000T5Q-E,"Patterson-UTI Energy, Inc.",Public,United States,1978,Active,NASDAQ,12.83,4218.73,6500.00,317.10,154.66,0.72,0.70,213.57,855.65,137.55,7.80,850.53,"3,143.82",86.30,436.80,1.19,23.90,9.44,4.96,1.22,95.09
003BQ1-E,"Asbury Automotive Group, Inc.",Public,United States,1995,Active,NYSE,210.02,4207.26,13000.00,"3,033.40",997.30,44.72,44.52,21.57,"3,688.80",240.70,134.61,"3,435.20","8,021.40",574.30,107.90,0.00,4.03,39.74,8.09,2.51,56.90
002JZF-E,White Mountains Insurance Group Ltd.,Public,United States,1980,Active,NYSE,1461.10,4194.02,803.00,-,-109.10,-32.80,-32.80,2.57,"1,166.10",-,"1,456.72","1,160.70","6,794.00",431.00,0.00,0.07,-,-2.99,-,-,88.46
075NB9-E,"Mr. Cooper Group, Inc.",Public,United States,1889,Active,NASDAQ,58.40,4193.98,6600.00,-,923.00,12.84,12.50,69.20,"7,423.00",702.00,58.63,"4,310.00","12,776.00",662.00,"1,612.00",0.00,3.21,24.87,2.86,5.94,-21.98
0095GF-E,"Freshpet, Inc.",Public,United States,2004,Active,NASDAQ,58.25,4189.33,1011.00,172.25,-59.49,-1.29,-1.29,48.04,5.71,132.74,21.47,4.20,"1,125.38",-273.30,230.07,0.00,-,-6.79,-9.76,-,39.92
003575-E,Nova Ltd.,Public,Israel,1993,Active,NASDAQ,100.41,4179.17,1177.00,316.97,140.21,4.89,4.40,28.68,246.06,373.50,20.47,240.09,988.01,98.23,21.31,0.00,16.72,26.44,99.98,1.22,37.16
